,0
0,javascript
1,java
2,python
3,c#
4,php
5,android
6,html
7,jquery
8,c++
9,css
10,ios
11,mysql
12,sql
13,r
14,node.js
15,arrays
16,asp.net
17,c
18,ruby-on-rails
19,json
20,reactjs
21,.net
22,sql-server
23,swift
24,objective-c
25,python-3.x
26,django
27,angularjs
28,angular
29,excel
30,regex
31,iphone
32,ruby
33,ajax
34,pandas
35,linux
36,xml
37,asp.net-mvc
38,vba
39,spring
40,database
41,wordpress
42,laravel
43,string
44,wpf
45,typescript
46,windows
47,xcode
48,mongodb
49,postgresql
50,bash
51,oracle
52,git
53,vb.net
54,multithreading
55,eclipse
56,amazon-web-services
57,list
58,firebase
59,algorithm
60,macos
61,spring-boot
62,forms
63,azure
64,image
65,scala
66,visual-studio
67,react-native
68,twitter-bootstrap
69,docker
70,dataframe
71,function
72,flutter
73,python-2.7
74,powershell
75,performance
76,winforms
77,api
78,numpy
79,matlab
80,apache
81,sqlite
82,selenium
83,hibernate
84,entity-framework
85,facebook
86,rest
87,shell
88,loops
89,linq
90,vue.js
91,maven
92,qt
93,android-studio
94,swing
95,csv
96,express
97,unit-testing
98,file
99,class
100,tensorflow
101,.htaccess
102,apache-spark
103,symfony
104,date
105,sorting
106,codeigniter
107,google-chrome
108,tsql
109,perl
110,dictionary
111,google-maps
112,opencv
113,uitableview
114,validation
115,sockets
116,http
117,asp.net-core
118,datetime
119,cordova
120,kotlin
121,for-loop
122,web-services
123,matplotlib
124,unity3d
125,xaml
126,android-layout
127,object
128,oop
129,email
130,spring-mvc
131,ruby-on-rails-3
132,go
133,ubuntu
134,dart
135,c++11
136,ms-access
137,sql-server-2008
138,parsing
139,if-statement
140,security
141,user-interface
142,jsp
143,pointers
144,listview
145,elasticsearch
146,authentication
147,batch-file
148,wcf
149,templates
150,variables
151,delphi
152,debugging
153,nginx
154,haskell
155,visual-studio-2010
156,machine-learning
157,ssl
158,flask
159,pdf
160,xamarin
161,jpa
162,google-app-engine
163,unix
164,github
165,asynchronous
166,jenkins
167,android-fragments
168,generics
169,selenium-webdriver
170,testing
171,web
172,gradle
173,hadoop
174,session
175,ionic-framework
176,ggplot2
177,asp.net-mvc-4
178,amazon-s3
179,tomcat
180,recursion
181,actionscript-3
182,animation
183,url
184,google-apps-script
185,heroku
186,curl
187,tkinter
188,kubernetes
189,npm
190,jquery-ui
191,cocoa
192,exception
193,math
194,inheritance
195,internet-explorer
196,mongoose
197,svg
198,join
199,winapi
200,asp.net-mvc-3
201,image-processing
202,dom
203,assembly
204,post
205,redirect
206,web-scraping
207,intellij-idea
208,magento
209,laravel-5
210,d3.js
211,firefox
212,button
213,gcc
214,select
215,webpack
216,matrix
217,logging
218,google-sheets
219,ruby-on-rails-4
220,opengl
221,iis
222,keras
223,visual-studio-code
224,django-models
225,xslt
226,events
